slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767665700,1767666507,93772.8,93772.8,93772.8,93772.8,7e-05,6.564096
btc-updown-15m-1767665700,1767666508,93772.81,93772.81,93772.81,93772.81,0.01077,1009.9331637
btc-updown-15m-1767665700,1767666509,93772.8,93772.81,93772.8,93772.8,0.00106,99.3991694
btc-updown-15m-1767665700,1767666510,93772.8,93772.8,93772.8,93772.8,0.0,0.0
btc-updown-15m-1767665700,1767666511,93772.81,93772.81,93772.81,93772.81,0.00559,524.1900079
btc-updown-15m-1767665700,1767666512,93772.81,93772.81,93772.8,93772.81,0.0021,196.9228856
btc-updown-15m-1767665700,1767666513,93772.81,93772.81,93772.81,93772.81,0.00042,39.3845802
btc-updown-15m-1767665700,1767666514,93772.81,93772.81,93772.81,93772.81,0.00301,282.2561581
btc-updown-15m-1767665700,1767666515,93772.8,93772.8,93772.8,93772.8,0.0075,703.296
btc-updown-15m-1767665700,1767666516,93772.8,93772.81,93772.8,93772.8,0.42186,39558.993621
btc-updown-15m-1767665700,1767666517,93772.8,93772.81,93772.8,93772.81,0.49432,46353.7705213
btc-updown-15m-1767665700,1767666518,93772.8,93772.8,93772.8,93772.8,0.01989,1865.140992
btc-updown-15m-1767665700,1767666519,93772.8,93772.81,93772.8,93772.8,1.35817,127359.4173147
btc-updown-15m-1767665700,1767666520,93772.8,93772.81,93772.8,93772.81,0.00018,16.8791051
btc-updown-15m-1767665700,1767666521,93772.81,93772.81,93772.81,93772.81,0.02817,2641.5800577
btc-updown-15m-1767665700,1767666522,93772.8,93772.81,93772.8,93772.8,0.03698,3467.7185109
btc-updown-15m-1767665700,1767666523,93772.81,93772.81,93772.8,93772.81,0.01848,1732.9215024
btc-updown-15m-1767665700,1767666524,93772.8,93772.81,93768.12,93768.12,0.08675,8134.704553
btc-updown-15m-1767665700,1767666525,93768.12,93768.12,93768.12,93768.12,0.06524,6117.4321488
